Config 139 | WITHOUT OT (PLAIN)   |    56.45 sec | ✅
Config 139 | WITH OT              |    52.54 sec | ✅
Config 140 | WITHOUT OT (PLAIN)   |    47.20 sec | ✅
Config 140 | WITH OT              |    40.07 sec | ✅
Config 141 | WITHOUT OT (PLAIN)   |    49.29 sec | ✅
Config 141 | WITH OT              |    55.37 sec | ✅
Config 142 | WITHOUT OT (PLAIN)   |    61.27 sec | ✅
Config 142 | WITH OT              |    53.84 sec | ✅
Config 143 | WITHOUT OT (PLAIN)   |    44.63 sec | ✅
Config 143 | WITH OT              |    45.57 sec | ✅
Config 144 | WITHOUT OT (PLAIN)   |    47.68 sec | ✅
Config 144 | WITH OT              |    51.64 sec | ✅
Config 145 | WITHOUT OT (PLAIN)   |    56.21 sec | ✅
Config 145 | WITH OT              |    32.62 sec | ✅
Config 146 | WITHOUT OT (PLAIN)   |    55.83 sec | ✅
Config 146 | WITH OT              |    56.18 sec | ✅
Config 147 | WITHOUT OT (PLAIN)   |    32.98 sec | ✅
Config 147 | WITH OT              |    56.80 sec | ✅
Config 148 | WITHOUT OT (PLAIN)   |    92.36 sec | ✅
Config 148 | WITH OT              |    61.48 sec | ✅
Config 149 | WITHOUT OT (PLAIN)   |    55.82 sec | ✅
Config 149 | WITH OT              |    62.99 sec | ✅
Config 150 | WITHOUT OT (PLAIN)   |    37.58 sec | ✅
Config 150 | WITH OT              |    64.50 sec | ✅
Config 151 | WITHOUT OT (PLAIN)   |    88.88 sec | ✅
Config 151 | WITH OT              |    60.96 sec | ✅
Config 152 | WITHOUT OT (PLAIN)   |    82.44 sec | ✅
Config 152 | WITH OT              |    60.93 sec | ✅
Config 153 | WITHOUT OT (PLAIN)   |    69.07 sec | ✅
Config 153 | WITH OT              |    30.40 sec | ✅
Config 154 | WITHOUT OT (PLAIN)   |    65.86 sec | ✅
Config 154 | WITH OT              |    62.01 sec | ✅
Config 155 | WITHOUT OT (PLAIN)   |    37.12 sec | ✅
Config 155 | WITH OT              |    37.25 sec | ✅
Config 156 | WITHOUT OT (PLAIN)   |    69.22 sec | ✅
Config 156 | WITH OT              |    62.50 sec | ✅
Config 157 | WITHOUT OT (PLAIN)   |    56.85 sec | ✅
Config 157 | WITH OT              |    56.16 sec | ✅
Config 158 | WITHOUT OT (PLAIN)   |    34.49 sec | ✅
Config 158 | WITH OT              |    34.37 sec | ✅
Config 159 | WITHOUT OT (PLAIN)   |    34.97 sec | ✅
Config 159 | WITH OT              |    56.72 sec | ✅
Config 160 | WITHOUT OT (PLAIN)   |    57.12 sec | ✅
Config 160 | WITH OT              |    57.80 sec | ✅
Config 161 | WITHOUT OT (PLAIN)   |    39.99 sec | ✅
Config 161 | WITH OT              |    58.29 sec | ✅
Config 162 | WITHOUT OT (PLAIN)   |    64.18 sec | ✅
Config 162 | WITH OT              |    53.25 sec | ✅
Config 163 | WITHOUT OT (PLAIN)   |    35.36 sec | ✅
Config 163 | WITH OT              |    61.93 sec | ✅
Config 164 | WITHOUT OT (PLAIN)   |    36.42 sec | ✅
Config 164 | WITH OT              |    63.13 sec | ✅
Config 165 | WITHOUT OT (PLAIN)   |    83.26 sec | ✅
Config 165 | WITH OT              |    61.07 sec | ✅
Config 166 | WITHOUT OT (PLAIN)   |    38.99 sec | ✅
Config 166 | WITH OT              |    59.26 sec | ✅
Config 167 | WITHOUT OT (PLAIN)   |    54.42 sec | ✅
Config 167 | WITH OT              |    58.06 sec | ✅
Config 168 | WITHOUT OT (PLAIN)   |    59.14 sec | ✅
Config 168 | WITH OT              |    36.87 sec | ✅
Config 169 | WITHOUT OT (PLAIN)   |    26.05 sec | ✅
Config 169 | WITH OT              |    25.97 sec | ✅
Config 170 | WITHOUT OT (PLAIN)   |    18.16 sec | ✅
Config 170 | WITH OT              |    25.56 sec | ✅
Config 171 | WITHOUT OT (PLAIN)   |    25.36 sec | ✅
Config 171 | WITH OT              |    24.69 sec | ✅
Config 172 | WITHOUT OT (PLAIN)   |    31.62 sec | ✅
Config 172 | WITH OT              |    34.33 sec | ✅
Config 173 | WITHOUT OT (PLAIN)   |    24.53 sec | ✅
Config 173 | WITH OT              |    38.86 sec | ✅
Config 174 | WITHOUT OT (PLAIN)   |    32.67 sec | ✅
Config 174 | WITH OT              |    28.72 sec | ✅
Config 175 | WITHOUT OT (PLAIN)   |    28.95 sec | ✅
Config 175 | WITH OT              |    31.89 sec | ✅
